company,parent,round,date,amount_cr,post_money_cr,investors,founded,fit_for_fresher,role_title,role_family,likelihood,band_low_lpa,band_high_lpa,band_confidence,careers_url,why
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,"Sales & Distribution Operations Executive (excise, depot, supply planning)","Operations, supply chain and city launch",possible,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","The round funds 'strengthening sales and operational capabilities'. Expanding from Pune to Mumbai and the rest of Maharashtra means state excise paperwork, label and brand registrations, depot indenting, and production planning with Amrut Distilleries — high-volume administrative work a founder cann"
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,Growth / Community and Social Media Associate,Growth and performance marketing,possible,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","Brand-building for a new-age spirits brand in a category that cannot run paid alcohol ads runs on content, community, bartender advocacy and PR. A tiny team at Rs 6 crore funding typically buys one junior generalist for this rather than an agency retainer. Lower likelihood than the field roles becau"
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,Founder's Office / Business Associate (Delhi),Founder's office / chief of staff / strategy associate,possible,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","Two founders, a Delhi HQ and a Maharashtra commercial operation, plus a first institutional-style round to report on — the kind of setup that eventually buys a junior generalist for state-expansion analysis, distributor economics and investor reporting. Ranked lowest because there is zero evidence o"
Orange Retail Finance,,Conventional Debt,2026-09-09,50.0,,UMI Capital,2014,,,,,,,,,
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Sales Engineer (Cybersecurity Products),"Business development, inside sales and account management",listed now,,,low,https://qunu.greythr.com/hire/jobs/,"The only commercial req on the board and the direct expression of the round's one concrete funding sentence — accelerate R&D and scale sales and go-to-market across India and international markets. It is scoped at 8-10 years as a technical pre-sales authority owning POCs, RFPs and SIEM/IAM integrati"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Technical Writer,"Marketing, product marketing and content",listed now,,,low,https://qunu.greythr.com/hire/jobs/,"Documentation for a product being pushed at enterprise and government buyers — compliance annexures, deployment guides, RFP response libraries. Posted at 5+ years so it is closed to a graduate today, but it is the clearest evidence that QNu is building the enterprise-buyer-facing content function th"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,"Manager, Finance & Controllership",Finance and controllership,listed now,,,low,https://qunu.greythr.com/hire/jobs/,"Explicitly framed as building and strengthening the finance function in a fast-growing startup — the classic pre-raise tell, posted seven weeks before the Rs 200 Cr close. A CA/commerce track at 3-6 years, so not an entry point for an engineering graduate, but it confirms the back office is being st"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Assistant Manager – Accounts,Finance and controllership,listed now,,,low,https://qunu.greythr.com/hire/jobs/,"The junior half of the same finance build-out, posted the same day. Still 3-6 years and CA/commerce-coded, so closed to a 2026/27 engineering graduate — listed here for completeness rather than as a target."
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Associate Sales Engineer / Pre-Sales Engineer,"Business development, inside sales and account management",likely,,,low,https://qunu.greythr.com/hire/jobs/,"The round funds scaling GTM across India and international markets, and one 8-10 year pre-sales person cannot personally run POCs across BFSI, defence, telcos and overseas accounts simultaneously. The standard fix at this stage is a junior pre-sales layer that owns POC setup, lab demos, integration "
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Bid / Tender Management Executive (Government & Defence),"Business development, inside sales and account management",likely,,,low,https://qunu.greythr.com/hire/jobs/,"Revenue from NQM/IQSN, defence, PSU banks and government telcos arrives through tenders, GeM listings, EOIs and RFP compliance packs, not through outbound prospecting. That is document-heavy, deadline-driven work almost always handed to a 0-2 year hire, and there is no such role on the board today d"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Product Marketing / Marketing Associate,Growth and performance marketing,likely,,,low,https://qunu.greythr.com/hire/jobs/,"Zero marketing reqs are open despite a round explicitly pitched on international go-to-market, and the funding narrative includes expanding the quantum-safe stack into quantum sensing and AI — a genuinely new category that needs positioning, collateral, website and conference presence (RSA, DSCI, Qu"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Program Coordinator – Deployments (IQSN / Government Programmes),Operations and programme management,likely,,,low,https://qunu.greythr.com/hire/jobs/,"The National Quantum Mission is an investor in this round and the India Quantum Secure and Sensing Networks project is named as a use of funds. Government-funded programme work brings milestone tracking, multi-agency coordination, compliance reporting and deployment scheduling across sites — a textb"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Supply Chain / Procurement Executive (Hardware),"Operations, supply chain and city launch",likely,,,low,https://qunu.greythr.com/hire/jobs/,"The board carries Production Test Engineer, two FPGA RTL Designers, FPGA Verification, Firmware, Optical Engineer and Head of Hardware Engineering — that is a manufacturing line being scaled, not a software team. Scaling a hardware line pulls in component sourcing, vendor qualification, BOM manageme"
QNu Labs,,Series A,2026-09-09,199.0,,Speciale Invest[+4],2016,,Founder's Office / Strategy Associate,Founder's office / chief of staff / strategy associate,possible,,,low,https://qunu.greythr.com/hire/jobs/,"Post-raise there is investor reporting to four parties including a sovereign mission fund and two strategic investors, plus international market entry to scope. That is the usual trigger for a founder's-office associate. Marked possible rather than likely because at roughly 140 people with a foundin"
Rungta Greentech,,Seed,2026-09-09,,,360 One,2005,,,,,,,,,
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Influencer Marketing Intern,Growth and performance marketing,listed now,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Already posted in Chandigarh, and the round explicitly funds brand-building including celebrity partnerships and marketing campaigns. This is the only genuinely 0-1 year door open at Theater today; at a 50-100 person brand these interns typically convert into a marketing/content executive seat."
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Marketplace Manager,Category management and merchandising (e-commerce),listed now,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Posted now and owns the online P&L across Amazon, Myntra, Nykaa, Ajio and Flipkart, with an explicit brief on revenue growth, profitability, pricing and promotions. The posted title implies 2-4 years, but an engineering grad with strong SQL/Excel is exactly the profile brands hire into the associate"
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Ecommerce Manager,Growth and performance marketing / D2C site P&L,listed now,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Posted now. Owned-site revenue has to keep growing while capital goes into stores, so this team is where site merchandising, paid media and conversion work sits. Same caveat as Marketplace Manager: a 0-1 year grad realistically enters one rung below this title."
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Assistant Manager - Sourcing,"Operations, supply chain and sourcing",listed now,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Posted now, and maps directly onto the stated use of funds ('meet working capital needs, strengthen the balance sheet') plus made-in-India production for a multi-category assortment. Usually a 2-4 year seat, but small brands do take sharp freshers into vendor coordination and costing under it."
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Retail Expansion / Store Launch Executive,"Operations, supply chain and city launch",likely,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Tier I and Tier II offline store rollout is the headline use of the round, yet no retail-expansion role is posted today - that is the most obvious near-term gap. Every new store needs site coordination, fit-out follow-up, opening stock, staffing and launch-week reporting, and the Tracxn headcount ju"
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,"Category / Merchandising Associate (footwear, bags, jewellery)",Category management and merchandising,likely,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Theater runs shoes, bags, stockings, socks, tights, jewellery and perfumes across five marketplaces plus owned stores. Adding physical retail multiplies SKU-location decisions and forces real buying, assortment and margin discipline. No category title is posted today, which is precisely why it is a "
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Customer Experience Associate,Operations / customer experience,likely,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","They are hiring a Chief Customer Experience Officer in Chandigarh - a C-level hire at a company this size does not arrive without a team to build, and an earlier Customer Experience Associate posting already appeared in Chandigarh. Offline stores plus five marketplaces plus own site means returns, e"
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Performance Marketing / Growth Associate,Growth and performance marketing,likely,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","The round funds brand-building, celebrity partnerships and marketing campaigns. Someone has to own paid media, CAC and ROAS reporting day to day underneath the Ecommerce Manager - a numerate engineering grad is the standard hire for that seat at a D2C brand at this stage."
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Business Analyst / Founder's Office Associate,Business analyst / founder's office,possible,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","A 4.5x valuation step-up, a new Financial Controller, institutional investors on the cap table and a P&L now split across own site, five marketplaces and physical stores all create investor-reporting and unit-economics work. Marked possible, not likely: no strategy, growth or founder's-office title "
Theater,,Series A,2026-09-09,56.9,,Firstport Capital[+5],2021,,Demand Planning / Inventory Executive,Operations and supply chain,possible,,,low,"https://in.linkedin.com/company/theater-xyz/jobs/ (there is no careers page on theater.xyz - /pages/careers returns 404 and the footer carries no jobs link; applications go to careers@theater.xyz with the role name in the subject line, e.g. 'Marketplace Manager CV')","Working capital is named in the use of funds, and moving from marketplace-only to owned stores multiplies SKU-by-location stocking decisions in a fashion category with size and seasonality risk. A natural second hire under the Sourcing and Finance leads, but not yet posted."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,"Relationship Manager — Pune City, Maharashtra","Business development, inside sales and account management",listed now,,,low,https://in.linkedin.com/company/fundlyai/jobs,"The only live posting on their LinkedIn jobs tab. A field sales/account seat acquiring pharma retailers and distributors in a metro they are expanding into — exactly what ""expand digital commerce, payments and credit offerings across India's pharma supply chain"" cashes out as on the ground."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Relationship Manager — Mumbai Metropolitan Region,"Business development, inside sales and account management",likely,,,low,https://in.linkedin.com/company/fundlyai/jobs,"They ran this identical requisition on LinkedIn about seven months ago and the home market is where retailer density is highest. Growing past 2,800 retailers on a $4M round is done with more feet on the street, not a new product line."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Business Development Executive / Associate — Distributor Acquisition,"Business development, inside sales and account management",likely,,,low,https://in.linkedin.com/company/fundlyai/jobs,"Only 40+ distributors support 2,800+ retailers. Scaling FundlyMart's order book across 590+ PIN codes requires supply-side onboarding, which is a separate, more junior-friendly motion than retailer relationship management."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Credit / Risk Analyst — Embedded Lending,"Business analyst and data analyst (entry-level, 0-2 years, India)",likely,,,low,https://in.linkedin.com/company/fundlyai/jobs,"INR 286+ Cr already disbursed and $0.9M of fresh venture debt to deploy. Expanding checkout credit means more underwriting, limit-setting, portfolio monitoring and collections MIS — the standard entry-level analyst seat at an embedded-finance company."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,"Operations Associate — Order, Payments and Settlement Ops","Operations, supply chain and city launch (entry-level, 0-2 years, India)",likely,,,low,https://in.linkedin.com/company/fundlyai/jobs,"The product bundles ordering, payment settlement and credit in one flow, so every new city adds reconciliation, dispute and collection follow-up work. This is the cheapest headcount to add after a raise and the most common 0-1 year business hire at a ~50-person fintech."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Category / Sourcing Associate — Pharma Catalogue and Pricing,Category management and merchandising,possible,,,low,https://in.linkedin.com/company/fundlyai/jobs,"A B2B medicine marketplace lives on catalogue accuracy, schemes and margin management across thousands of SKUs. Expanding the commerce line is the part of the round that most directly creates category-ops work, though at 50 people this may still sit inside the ops team rather than get its own title."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Product Analyst — FundlyMart,"Product analyst and associate product manager (APM) — entry level, 0–2 years, India",possible,,,low,https://in.linkedin.com/company/fundlyai/jobs,"An unverified iimjobs listing for a Senior Product Manager suggests the product function is being built out; a senior PM hire is usually followed by a junior analyst to own funnel, adoption and repeat-order metrics across the three product lines the round funds."
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Associate — Founder's Office / Business Strategy,"Founder's office / chief of staff / strategy associate — entry-level (0-2 years), India (business-side, not engineering)",possible,,,low,https://in.linkedin.com/company/fundlyai/jobs,Typical post-raise hire at a ~50-person company with distributed field staff across 24+ cities and new investor reporting obligations. Real but genuinely optional — many companies this size never open one.
Fundly,,Series A,2026-09-08,37.8,,Accel[+2],2021,,Growth / Performance Marketing Associate,Growth and performance marketing,possible,,,low,https://in.linkedin.com/company/fundlyai/jobs,"The digital-commerce leg of the round implies demand generation for FundlyMart, but retailer acquisition in pharma is overwhelmingly field- and referral-led, so a dedicated entry-level growth seat is the least likely of these."
Fundly,,Venture Debt,2026-09-08,8.5,,,2021,,"Relationship Manager — Pune City, Maharashtra","Business development, inside sales and account management",listed now,,,low,https://in.linkedin.com/company/fundlyai/jobs,"The only live posting on their LinkedIn jobs tab. A field sales/account seat acquiring pharma retailers and distributors in a metro they are expanding into — exactly what ""expand digital commerce, payments and credit offerings across India's pharma supply chain"" cashes out as on the ground."
Fundly,,Venture Debt,2026-09-08,8.5,,,2021,,Relationship Manager — Mumbai Metropolitan Region,"Business development, inside sales and account management",likely,,,low,https://in.linkedin.com/company/fundlyai/jobs,"They ran this identical requisition on LinkedIn about seven months ago and the home market is where retailer density is highest. Growing past 2,800 retailers on a $4M round is done with more feet on the street, not a new product line."
Fundly,,Venture Debt,2026-09-08,8.5,,,2021,,Business Development Executive / Associate — Distributor Acquisition,"Business development, inside sales and account management",likely,,,low,https://in.linkedin.com/company/fundlyai/jobs,"Only 40+ distributors support 2,800+ retailers. Scaling FundlyMart's order book across 590+ PIN codes requires supply-side onboarding, which is a separate, more junior-friendly motion than retailer relationship management."
